movieId,title,Action,Adventure,Animation,Children,Comedy,Crime,Documentary,Drama,Fantasy,FilmNoir,Horror,Musical,Mystery,Romance,SciFi,Thriller,War,Western,NA,imdbId
1,Toy Story (1995),0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,114709
2,Jumanji (1995),0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,113497
3,Grumpier Old Men (1995),0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,113228
4,Waiting to Exhale (1995),0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,114885
5,Father of the Bride Part II (1995),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113041
6,Heat (1995),1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,113277
7,Sabrina (1995),0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,114319
8,Tom and Huck (1995),0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112302
9,Sudden Death (1995),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114576
10,GoldenEye (1995),1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,113189
11,"American President, The (1995)",0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,112346
12,Dracula: Dead and Loving It (1995),0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,112896
13,Balto (1995),0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112453
14,Nixon (1995),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,113987
15,Cutthroat Island (1995),1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,112760
16,Casino (1995),0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,112641
17,Sense and Sensibility (1995),0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,114388
18,Four Rooms (1995),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113101
19,Ace Ventura: When Nature Calls (1995),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112281
20,Money Train (1995),1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,113845
21,Get Shorty (1995),0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,113161
22,Copycat (1995),0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,112722
23,Assassins (1995),1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,112401
24,Powder (1995),0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,114168
25,Leaving Las Vegas (1995),0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,113627
26,Othello (1995),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,114057
27,Now and Then (1995),0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,114011
28,Persuasion (1995),0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,114117
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,112682
31,Dangerous Minds (1995),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,112792
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,114746
34,Babe (1995),0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,112431
36,Dead Man Walking (1995),0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,112818
39,Clueless (1995),0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,112697
41,Richard III (1995),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,114279
42,Dead Presidents (1995),1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,112819
43,Restoration (1995),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,114272
44,Mortal Kombat (1995),1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,113855
45,To Die For (1995),0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,114681
46,How to Make an American Quilt (1995),0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,113347
47,Seven (a.k.a. Se7en) (1995),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,114369
48,Pocahontas (1995),0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,114148
50,"Usual Suspects, The (1995)",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,114814
52,Mighty Aphrodite (1995),0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,113819
57,Home for the Holidays (1995),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,113321
58,"Postman, The (Postino, Il) (1994)",0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,110877
60,"Indian in the Cupboard, The (1995)",0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,113419
61,Eye for an Eye (1996),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,116260
62,Mr. Holland's Opus (1995),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,113862
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,116126
64,Two if by Sea (1996),0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,118002
65,Bio-Dome (1996),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115683
66,Lawnmower Man 2: Beyond Cyberspace (1996),1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,116839
68,French Twist (Gazon maudit) (1995),0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,113149
69,Friday (1995),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113118
70,From Dusk Till Dawn (1996),1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,116367
71,Fair Game (1995),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113010
72,Kicking and Screaming (1995),0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,113537
73,"Misérables, Les (1995)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,113828
74,Bed of Roses (1996),0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,115644
